Designator,Mid X,Mid Y,Rotation,Layer
C1,140.4625,-99.725,270.0,top
C2,141.075,-103.375,90.0,top
C3,143.7375,-104.225,180.0,top
C4,135.325,-93.225,180.0,top
C5,135.325,-95.225,180.0,top
D1,142.325,-93.225,0.0,top
J1,142.185,-117.025,270.0,top
L1,143.7,-102.475,0.0,top
R1,146.575,-101.725,90.0,top
R2,143.9625,-96.925,180.0,top
R3,142.2375,-95.225,180.0,top
R4,138.825,-95.225,180.0,top
R5,138.825,-93.225,180.0,top
R6,149.325,-93.225,180.0,top
R7,145.825,-93.225,0.0,top
SW1,148.575,-95.725,0.0,top
U1,143.575,-99.725,0.0,top
U2,136.325,-99.975,90.0,top
U3,142.325,-78.625,0.0,top
